,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,system_attrs_fixed_params,state
0,0,569.0,2023-01-28 22:56:41.321679,2023-01-28 23:03:29.885555,0 days 00:06:48.563876,tanh,10,0.95,0.99,0.00025,0.5,small,0.010000000000000009,1024,"{'n_steps': 128, 'gamma': 0.99, 'gae_lambda': 0.95, 'learning_rate': 0.00025, 'max_grad_norm': 0.5, 'policy_kwargs': {'net_arch': {'pi': [64], 'vf': [64]}, 'activation_fn': <class 'torch.nn.modules.activation.ReLU'>}}",COMPLETE
1,1,140.0,2023-01-28 23:03:29.886205,2023-01-28 23:10:35.193599,0 days 00:07:05.307394,relu,3,0.0890326053076354,0.003158853732398745,0.6249748683055955,1.5362305315389344,small,0.9968411462676012,8,,COMPLETE
2,2,110.0,2023-01-28 23:10:35.194184,2023-01-28 23:17:54.678570,0 days 00:07:19.484386,tanh,4,0.00010684867342940673,0.004974998318666849,0.2695872325122575,2.998220074593908,tiny,0.9950250016813331,16,,COMPLETE
3,3,140.0,2023-01-28 23:17:54.679366,2023-01-28 23:24:44.729103,0 days 00:06:50.049737,tanh,8,0.1914460824022455,0.00038060433066420694,0.08777325204373927,0.31329420748542736,small,0.9996193956693358,256,,COMPLETE
4,4,140.0,2023-01-28 23:24:44.729715,2023-01-28 23:31:51.557588,0 days 00:07:06.827873,relu,3,0.09944090964644084,0.06339248467329575,0.06106701196412997,0.37397814439306065,small,0.9366075153267043,8,,COMPLETE
5,5,253.0,2023-01-28 23:31:51.558302,2023-01-28 23:38:36.639770,0 days 00:06:45.081468,relu,8,0.06871266314837218,0.00010054934470115751,3.4955144203903647e-05,0.6693544472920503,small,0.9998994506552988,256,,COMPLETE
6,6,140.0,2023-01-28 23:38:36.640383,2023-01-28 23:45:26.754290,0 days 00:06:50.113907,tanh,9,0.0011909430866095647,0.00010927881837928714,0.22791012736340027,0.347942505870975,tiny,0.9998907211816207,512,,COMPLETE
7,7,110.0,2023-01-28 23:45:26.755068,2023-01-28 23:52:54.523034,0 days 00:07:27.767966,tanh,4,0.00047798105032747975,0.00573726097316997,0.3042435582041302,1.8066307597262679,small,0.99426273902683,16,,COMPLETE
8,8,231.0,2023-01-28 23:52:54.523623,2023-01-28 23:59:34.139842,0 days 00:06:39.616219,tanh,8,0.00011043593720250573,0.007369750807386876,0.00020525075084172614,0.6873798356310262,tiny,0.9926302491926131,256,,COMPLETE
9,9,140.0,2023-01-28 23:59:34.140435,2023-01-29 00:06:49.983845,0 days 00:07:15.843410,relu,3,0.0006342221858484498,0.026998339737260846,0.004303373797267461,1.2795705224139473,small,0.9730016602627392,8,,COMPLETE
